CodeFigure_DataCategories,Name_DataCategories_es,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_es,Status
0,Datos de superficie — terrestres,0,Observaciones sinópticas horarias desde estaciones terrestres fijas (SYNOP,Operational
0,Datos de superficie — terrestres,1,Observaciones sinópticas intermedias desde estaciones terrestres fijas (SYNOP),Operational
0,Datos de superficie — terrestres,2,Principales observaciones sinópticas desde estaciones terrestres fijas (SYNOP),Operational
0,Datos de superficie — terrestres,3,Observaciones sinópticas horarias desde estaciones terrestres móviles (SYNOP MOBIL),Operational
0,Datos de superficie — terrestres,4,Observaciones sinópticas intermedias desde estaciones terrestres móviles (SYNOP MOBIL),Operational
0,Datos de superficie — terrestres,5,Principales observaciones sinópticas desde estaciones terrestres móviles (SYNOP MOBIL),Operational
0,Datos de superficie — terrestres,6,Observaciones en una hora desde estaciones automáticas,Operational
0,Datos de superficie — terrestres,7,Observaciones en n-minutos desde estaciones meteorológicas automáticas,Operational
0,Datos de superficie — terrestres,8,Observaciones de radiación en períodos de una hora,Operational
0,Datos de superficie — terrestres,9,Observaciones de radiación en período de n-minutos,Operational
0,Datos de superficie — terrestres,10,Observaciones aeronáuticas habituales (METAR),Operational
0,Datos de superficie — terrestres,11,Observaciones aeronáuticas especiales (SPECI),Operational
0,Datos de superficie — terrestres,14,Observaciones de la humedad por medio de un GPS en tierra (GPS-IWV),Operational
0,Datos de superficie — terrestres,20,Observaciones climatológicas (CLIMAT),Operational
0,Datos de superficie — terrestres,21,Observaciones climatológicas (informes mensuales de los datos climáticos diarios),Operational
0,Datos de superficie — terrestres,30,Ubicaciones de parásitos atmosféricos (SFLOC),Operational
0,Datos de superficie — terrestres,40,Informes hidrológicos,Operational
0,Datos de superficie — terrestres,50,Observaciones sinópticas horarias con datos suplementarios de una hora,Operational
0,Datos de superficie — terrestres,51,Observaciones sinópticas intermedias con datos suplementarios de una hora,Operational
0,Datos de superficie — terrestres,52,Observaciones sinópticas principales con datos suplementarios de una hora,Operational
1,Datos de superficie — marinos,0,Observaciones sinópticas (SHIP),Operational
1,Datos de superficie — marinos,6,Observaciones en una hora desde estaciones automáticas,Operational
1,Datos de superficie — marinos,7,Observaciones en n-minutos desde estaciones meteorológicas automáticas,Operational
1,Datos de superficie — marinos,20,Observaciones climatológicas (CLIMAT SHIP),Operational
1,Datos de superficie — marinos,25,Observación proveniente de una boya (BUOY),Operational
1,Datos de superficie — marinos,30,Mareógrafo,Operational
