"No","CodeFigureForI6I6I6","CodeFigureForBUFR","CodeFigureForGRIB2","SatelliteName_en","Status"
67.00,"252","252","252","GOES 8","Operational"
68.00,"253","253","253","GOES 9","Operational"
69.00,"254","254","254","GOES 10","Operational"
70.00,"255","255","255","GOES 11","Operational"
71.00,"256","256","256","GOES 12","Operational"
72.00,"257","257","257","GOES 13","Operational"
73.00,"258","258","258","GOES 14","Operational"
74.00,"259","259","259","GOES 15","Operational"
75.00,"260","260","260","JASON 1","Operational"
76.00,"261","261","261","JASON 2","Operational"
77.00,"281","281","281","QUIKSCAT","Operational"
78.00,"282","282","282","TRMM","Operational"
79.00,"283","283","283","CORIOLIS","Operational"
80.00,"285","285","285","DMSP17","Operational"
81.00,"286","286","286","DMSP18","Operational"
82.00,,,,"300-399: Numbers allocated to Russian Federation","Operational"
83.00,"310","310","310","GOMS 1","Operational"
84.00,"311","311","311","GOMS 2","Operational"
85.00,"320","320","320","METEOR 2-21","Operational"
86.00,"321","321","321","METEOR 3-5","Operational"
87.00,"322","322","322","METEOR 3M-1","Operational"
88.00,"323","323","323","METEOR 3M-2","Operational"
89.00,"341","341","341","RESURS 01-4","Operational"
90.00,,,,"400-499: Numbers allocated to India","Operational"
91.00,"410","410","410","KALPANA-1","Operational"
92.00,"421","421","421","Oceansat-2","Operational"
93.00,"430","430","430","INSAT 1B","Operational"
94.00,"431","431","431","INSAT 1C","Operational"
95.00,"432","432","432","INSAT 1D","Operational"
96.00,"440","440","440","Megha-Tropiques","Operational"
97.00,"441","441","441","SARAL","Operational"
98.00,"450","450","450","INSAT 2A","Operational"
99.00,"451","451","451","INSAT 2B","Operational"
100.00,"452","452","452","INSAT 2E","Operational"
101.00,"470","470","470","INSAT 3A","Operational"
102.00,"471","471","471","INSAT 3D","Operational"
103.00,"472","472","472","INSAT 3E","Operational"
104.00,,,,"500-599: Numbers allocated to China","Operational"
105.00,"500","500","500","FY-1C","Operational"
106.00,"501","501","501","FY-1D","Operational"
107.00,"510","510","510","FY-2","Operational"
108.00,"512","512","512","FY-2B","Operational"
109.00,"513","513","513","FY-2C","Operational"
110.00,"514","514","514","FY-2D","Operational"
111.00,"515","515","515","FY-2E","Operational"
112.00,"520","520","520","FY-3A","Operational"
113.00,"521","521","521","FY-3B","Operational"
114.00,,,,"600-699: Numbers allocated to Europe","Operational"
115.00,,,,"700-799: Numbers allocated to USA","Operational"
116.00,"700","700","700","TIROS M (ITOS 1)","Operational"
117.00,"701","701","701","NOAA 1","Operational"
118.00,"702","702","702","NOAA 2","Operational"
119.00,"703","703","703","NOAA 3","Operational"
120.00,"704","704","704","NOAA 4","Operational"
121.00,"705","705","705","NOAA 5","Operational"
122.00,"706","706","706","NOAA 6","Operational"
123.00,"707","707","707","NOAA 7","Operational"
124.00,"708","708","708","TIROS-N","Operational"
125.00,"710","710","710","GOES (SMS 1)","Operational"
126.00,"711","711","711","GOES (SMS 2)","Operational"
127.00,"720","720","720","TOPEX","Operational"
128.00,"721","721","721","GFO (GEOSAT follow on)","Operational"
129.00,"722","722","722","GRACE A","Operational"
130.00,"723","723","723","GRACE B","Operational"
131.00,"731","731","731","GOES 1","Operational"
132.00,"732","732","732","GOES 2","Operational"
133.00,"733","733","733","GOES 3","Operational"
134.00,"734","734","734","GOES 4","Operational"
135.00,"735","735","735","GOES 5","Operational"
136.00,"740","740","740","COSMIC-1","Operational"
137.00,"741","741","741","COSMIC-2","Operational"
138.00,"742","742","742","COSMIC-3","Operational"
139.00,"743","743","743","COSMIC-4","Operational"
140.00,"744","744","744","COSMIC-5","Operational"
141.00,"745","745","745","COSMIC-6","Operational"
142.00,"763","763","763","NIMBUS 3","Operational"
143.00,"764","764","764","NIMBUS 4","Operational"
144.00,"765","765","765","NIMBUS 5","Operational"
145.00,"766","766","766","NIMBUS 6","Operational"
146.00,"767","767","767","NIMBUS 7","Operational"
147.00,"780","780","780","ERBS","Operational"
148.00,"781","781","781","UARS","Operational"
149.00,"782","782","782","EARTH PROBE","Operational"
150.00,"783","783","783","TERRA","Operational"
151.00,"784","784","784","AQUA","Operational"
152.00,"785","785","785","AURA","Operational"
153.00,"786","786","786","C/NOFS","Operational"
154.00,"787","787","787","CALIPSO","Operational"
155.00,"788","788","788","CloudSat","Operational"
156.00,,,,"800-849 Numbers allocated to other satellite operators","Operational"
157.00,"800","800","800","SUNSAT","Operational"
158.00,"810","810","810","COMS-1","Operational"
159.00,"811","811","811","COMS-2","Operational"
160.00,"820","820","820","SAC-C","Operational"
161.00,"821","821","821","SAC-D","Operational"
162.00,"825","825","825","KOMPSAT-5","Operational"
163.00,"850","850","850","Combination of TERRA and AQUA","Operational"
164.00,"851","851","851","Combination of NOAA 16 to NOAA 19","Operational"
165.00,"852","852","852","Combination of Metop-1 to Metop-3","Operational"
166.00,"853","853","853","Combination of METEOSAT and DMSP","Operational"
167.00,"870-998","870-998","870-998","Reserved","Operational"
168.00,"999 Missing value","999-1022","999-65534","Reserved","Operational"
169.00,,"1023","65535","Missing value","Operational"
