"No","CodeFigure_DataCategories","Name_DataCategories_en","CodeFigure_InternationalDataSubcategories","Name_InternationalDataSubcategories_en","Status"
1.00,"0","Surface data - land","0","Hourly synoptic observations from fixed-land stations (SYNOP)","Operational"
2.00,"0","Surface data - land","1","Intermediate synoptic observations from fixed-land stations (SYNOP)","Operational"
3.00,"0","Surface data - land","2","Main synoptic observations from fixed-land stations (SYNOP)","Operational"
4.00,"0","Surface data - land","3","Hourly synoptic observations from mobile-land stations (SYNOP MOBIL)","Operational"
5.00,"0","Surface data - land","4","Intermediate synoptic observations from mobile-land stations (SYNOP MOBIL)","Operational"
6.00,"0","Surface data - land","5","Main synoptic observations from mobile-land stations (SYNOP MOBIL)","Operational"
7.00,"0","Surface data - land","6","One-hour observations from automated stations","Operational"
8.00,"0","Surface data - land","7","n-minute observations from AWS stations","Operational"
9.00,"0","Surface data - land","8","Radiation observations from one-hour period","Operational"
10.00,"0","Surface data - land","9","Radiation observations from n-minute period","Operational"
11.00,"0","Surface data - land","10","Routine aeronautical observations (METAR)","Operational"
12.00,"0","Surface data - land","11","Special aeronautical observations (SPECI)","Operational"
13.00,"0","Surface data - land","14","Ground-based GPS humidity observations (GPSIWV)","Operational"
14.00,"0","Surface data - land","20","Climatological observations (CLIMAT)","Operational"
15.00,"0","Surface data - land","21","Climatological observations (monthly reports of daily climate data)","Operational"
16.00,"0","Surface data - land","30","Sferics locations","Operational"
17.00,"0","Surface data - land","40","Hydrologic reports","Operational"
18.00,"0","Surface data - land","50","Hourly synoptic observations with supplementary one-hour data","Operational"
19.00,"0","Surface data - land","51","Intermediate synoptic observations with supplementary one-hour data","Operational"
20.00,"0","Surface data - land","52","Main synoptic observations with supplementary one-hour data","Operational"
21.00,"1","Surface data - sea","0","Synoptic observations (SHIP)","Operational"
22.00,"1","Surface data - sea","6","One-hour observations from automated stations","Operational"
23.00,"1","Surface data - sea","7","n-minute observations from AWS stations","Operational"
24.00,"1","Surface data - sea","20","Climatological observations (CLIMAT SHIP)","Operational"
25.00,"1","Surface data - sea","25","Buoy observation (BUOY)","Operational"
26.00,"1","Surface data - sea","30","Tide gauge","Operational"
27.00,"1","Surface data - sea","31","Observed water level time series","Operational"
28.00,"2","Vertical soundings (other than satellite)","1","Upper-wind reports from fixed-land stations (PILOT)","Operational"
29.00,"2","Vertical soundings (other than satellite)","2","Upper-wind reports from ships (PILOT SHIP)","Operational"
30.00,"2","Vertical soundings (other than satellite)","3","Upper-wind reports from mobile land stations (PILOT MOBIL)","Operational"
31.00,"2","Vertical soundings (other than satellite)","4","Upper-level temperature/humidity/wind reports from fixed-land stations (TEMP)","Operational"
32.00,"2","Vertical soundings (other than satellite)","5","Upper-level temperature/humidity/wind reports from ships (TEMP SHIP)","Operational"
33.00,"2","Vertical soundings (other than satellite)","6","Upper-level temperature/humidity/wind report from mobile land stations (TEMP MOBIL)","Operational"
34.00,"2","Vertical soundings (other than satellite)","7","Upper-level temperature/humidity/wind reports from dropwinsondes (TEMP DROP)","Operational"
35.00,"2","Vertical soundings (other than satellite)","10","Wind profiler reports","Operational"
36.00,"2","Vertical soundings (other than satellite)","11","RASS temperature profiles","Operational"
37.00,"2","Vertical soundings (other than satellite)","14","Upper-level temperature/humidity/wind reports from descent radiosondes originally launched from fixed-land stations","Operational"
