CodeFigureForBUFR,Meaning_en
1,Sippican Strip Chart Recorder
2,Sippican MK2A/SSQ-61
3,Sippican MK-9
4,Sippican AN/BHQ-7/MK8
5,Sippican MK-12
6,Sippican MK-21
7,Sippican MK-8 Linear Recorder
8,Sippican MK-10
10,Sparton SOC BT/SV Processor Model 100
11,Lockheed-Sanders Model OL5005
20,ARGOS XBT-ST
21,CLS-ARGOS/Protecno XBT-ST Model-1
22,CLS-ARGOS/Protecno XBT-ST Model-2
30,BATHY Systems SA-810
31,Scripps Metrobyte Controller
32,Murayama Denki Z-60-16 III
33,Murayama Denki Z-60-16 II
34,Protecno ETSM2
35,Nautilus Marine Service NMS-XBT
40,TSK MK-2A
41,TSK MK-2S
42,TSK MK-30
43,TSK MK-30N
45,TSK MK-100
46,TSK MK-130 Compatible recorder for both XBT and XCTD
47,TSK MK-130A XCTD recorder
48,TSK AXBT RECEIVER MK-300
49,TSK MK-150/MK-150N Compatible recorder for both XBT and XCTD
50,JMA ASTOS
60,"ARGOS communications, sampling on up transit"
61,"ARGOS communications, sampling on down transit"
62,"Orbcomm communications, sampling on up transit"
63,"Orbcomm communications, sampling on down transit"
64,"Iridium communications, sampling on up transit"
65,"Iridium communications, sampling on down transit"
70,CSIRO Devil-1 XBT acquisition system
71,CSIRO Devil-2 XBT acquisition system
72,TURO/CSIRO Quoll XBT acquisition system
80,"Applied Microsystems Ltd., MICRO-SVT&P"
81,"Sea Mammal Research Unit, Univ. St. Andrews, UK, uncorrected salinity from a sea mammal mounted instrument"
82,"Sea Mammal Research Unit, Univ. St. Andrews, UK, corrected salinity from a sea mammal mounted instrument"
99,Unknown
127,Missing value
