CodeFigure,Meaning_en,ChemicalFormula,Status
30021,Sodium 22,Na-22,Operational
30022,Phosphate 32,P-32,Operational
30023,Phosphate 33,P-33,Operational
30024,Sulphur 35,S-35,Operational
30025,Chlorine 36,Cl-36,Operational
30026,Potassium 40,K-40,Operational
30027,Argon 41,Ar-41,Operational
30028,Calcium 41,Ca-41,Operational
30029,Calcium 45,Ca-45,Operational
30030,Titanium 44,Ti-44,Operational
30031,Scandium 46,Sc-46,Operational
30032,Vanadium 48,V-48,Operational
30033,Vanadium 49,V-49,Operational
30034,Chrome 51,Cr-51,Operational
30035,Manganese 52,Mn-52,Operational
30036,Manganese 54,Mn-54,Operational
30037,Iron 55,Fe-55,Operational
30038,Iron 59,Fe-59,Operational
30039,Cobalt 56,Co-56,Operational
30040,Cobalt 57,Co-57,Operational
30041,Cobalt 58,Co-58,Operational
30042,Cobalt 60,Co-60,Operational
30043,Nickel 59,Ni-59,Operational
30044,Nickel 63,Ni-63,Operational
30045,Zinc 65,Zn-65,Operational
30046,Gallium 67,Ga-67,Operational
30047,Gallium 68,Ga-68,Operational
30048,Germanium 68,Ge-68,Operational
30049,Germanium 69,Ge-69,Operational
30050,Arsenic 73,As-73,Operational
30051,Selenium 75,Se-75,Operational
30052,Selenium 79,Se-79,Operational
30053,Rubidium 81,Rb-81,Operational
30054,Rubidium 83,Rb-83,Operational
30055,Rubidium 84,Rb-84,Operational
30056,Rubidium 86,Rb-86,Operational
30057,Rubidium 87,Rb-87,Operational
30058,Rubidium 88,Rb-88,Operational
30059,Krypton 85,Kr-85,Operational
30060,Krypton 85 metastable,Kr-85m,Operational
30061,Krypton 87,Kr-87,Operational
30062,Krypton 88,Kr-88,Operational
30063,Krypton 89,Kr-89,Operational
30064,Strontium 85,Sr-85,Operational
30065,Strontium 89,Sr-89,Operational
30066,Strontium 89/90,Sr-8990,Operational
30067,Strontium 90,Sr-90,Operational
30068,Strontium 91,Sr-91,Operational
30069,Strontium 92,Sr-92,Operational
30070,Yttrium 87,Y-87,Operational
30071,Yttrium 88,Y-88,Operational
30072,Yttrium 90,Y-90,Operational
30073,Yttrium 91,Y-91,Operational
30074,Yttrium 91 metastable,Y-91m,Operational
30075,Yttrium 92,Y-92,Operational
30076,Yttrium 93,Y-93,Operational
30077,Zirconium 89,Zr-89,Operational
30078,Zirconium 93,Zr-93,Operational
30079,Zirconium 95,Zr-95,Operational
30080,Zirconium 97,Zr-97,Operational
30081,Niobium 93 metastable,Nb-93m,Operational
30082,Niobium 94,Nb-94,Operational
30083,Niobium 95,Nb-95,Operational
30084,Niobium 95 metastable,Nb-95m,Operational
30085,Niobium 97,Nb-97,Operational
30086,Niobium 97 metastable,Nb-97m,Operational
30087,Molybdenum 93,Mo-93,Operational
30088,Molybdenum 99,Mo-99,Operational
30089,Technetium 95 metastable,Tc-95m,Operational
30090,Technetium 96,Tc-96,Operational
30091,Technetium 99,Tc-99,Operational
30092,Technetium 99 metastable,Tc-99m,Operational
30093,Rhodium 99,Rh-99,Operational
30094,Rhodium 101,Rh-101,Operational
30095,Rhodium 102 metastable,Rh-102m,Operational
30096,Rhodium 103 metastable,Rh-103m,Operational
30097,Rhodium 105,Rh-105,Operational
30098,Rhodium 106,Rh-106,Operational
30099,Palladium 100,Pd-100,Operational
30100,Palladium 103,Pd-103,Operational
30101,Palladium 107,Pd-107,Operational
30102,Ruthenium 103,Ru-103,Operational
30103,Ruthenium 105,Ru-105,Operational
30104,Ruthenium 106,Ru-106,Operational
30105,Silver 108 metastable,Ag-108m,Operational
30106,Silver 110 metastable,Ag-110m,Operational
30107,Cadmium 109,Cd-109,Operational
30108,Cadmium 113 metastable,Cd-113m,Operational
30109,Cadmium 115 metastable,Cd-115m,Operational
30110,Indium 114 metastable,In-114m,Operational
30111,Tin 113,Sn-113,Operational
30112,Tin 119 metastable,Sn-119m,Operational
30113,Tin 121 metastable,Sn-121m,Operational
30114,Tin 122,Sn-122,Operational
30115,Tin 123,Sn-123,Operational
30116,Tin 126,Sn-126,Operational
30117,Antimony 124,Sb-124,Operational
30118,Antimony 125,Sb-125,Operational
30119,Antimony 126,Sb-126,Operational
30120,Antimony 127,Sb-127,Operational
30121,Antimony 129,Sb-129,Operational
30122,Tellurium 123 metastable,Te-123m,Operational
30123,Tellurium 125 metastable,Te-125m,Operational
30124,Tellurium 127,Te-127,Operational
30125,Tellurium 127 metastable,Te-127m,Operational
30126,Tellurium 129,Te-129,Operational
30127,Tellurium 129 metastable,Te-129m,Operational
30128,Tellurium 131 metastable,Te-131m,Operational
30129,Tellurium 132,Te-132,Operational
30130,Iodine 123,I-123,Operational
30131,Iodine 124,I-124,Operational
30132,Iodine 125,I-125,Operational
30133,Iodine 126,I-126,Operational
30134,Iodine 129,I-129,Operational
30135,Iodine 129 elementary gaseous,I-129g,Operational
30136,Iodine 129 organic bounded,I-129o,Operational
30137,Iodine 131,I-131,Operational
30138,Iodine 131 elementary gaseous,I-131g,Operational
30139,Iodine 131 organic bounded,I-131o,Operational
30140,Iodine 131 gaseous elementary and organic bounded,I-131go,Operational
30141,Iodine 131 aerosol,I-131a,Operational
30142,Iodine 132,I-132,Operational
30143,Iodine 132 elementary gaseous,I-132g,Operational
30144,Iodine 132 organic bounded,I-132o,Operational
30145,Iodine 132 gaseous elementary and organic bounded,I-132go,Operational
30146,Iodine 132 aerosol,I-132a,Operational
30147,Iodine 133,I-133,Operational
30148,Iodine 133 elementary gaseous,I-133g,Operational
30149,Iodine 133 organic bounded,I-133o,Operational
30150,Iodine 133 gaseous elementary and organic bounded,I-133go,Operational
30151,Iodine 133 aerosol,I-133a,Operational
30152,Iodine 134,I-134,Operational
30153,Iodine 134 elementary gaseous,I-134g,Operational
30154,Iodine 134 organic bounded,I-134o,Operational
30155,Iodine 135,I-135,Operational
30156,Iodine 135 elementary gaseous,I-135g,Operational
30157,Iodine 135 organic bounded,I-135o,Operational
30158,Iodine 135 gaseous elementary and organic bounded,I-135go,Operational
30159,Iodine 135 aerosol,I-135a,Operational
30160,Xenon 131 metastable,Xe-131m,Operational
30161,Xenon 133,Xe-133,Operational
30162,Xenon 133 metastable,Xe-133m,Operational
30163,Xenon 135,Xe-135,Operational
30164,Xenon 135 metastable,Xe-135m,Operational
30165,Xenon 137,Xe-137,Operational
30166,Xenon 138,Xe-138,Operational
30167,Xenon sum of all Xenon isotopes,Xe-sum,Operational
30168,Caesium 131,Cs-131,Operational
30169,Caesium 134,Cs-134,Operational
30170,Caesium 135,Cs-135,Operational
30171,Caesium 136,Cs-136,Operational
30172,Caesium 137,Cs-137,Operational
30173,Barium 133,Ba-133,Operational
30174,Barium 137 metastable,Ba-137m,Operational
30175,Barium 140,Ba-140,Operational
30176,Cerium 139,Ce-139,Operational
30177,Cerium 141,Ce-141,Operational
30178,Cerium 143,Ce-143,Operational
30179,Cerium 144,Ce-144,Operational
30180,Lanthanum 140,La-140,Operational
30181,Lanthanum 141,La-141,Operational
30182,Praseodymium 143,Pr-143,Operational
30183,Praseodymium 144,Pr-144,Operational
30184,Praseodymium 144 metastable,Pr-144m,Operational
30185,Samarium 145,Sm-145,Operational
30186,Samarium 147,Sm-147,Operational
30187,Samarium 151,Sm-151,Operational
30188,Neodymium 147,Nd-147,Operational
30189,Promethium 146,Pm-146,Operational
30190,Promethium 147,Pm-147,Operational
30191,Promethium 151,Pm-151,Operational
30192,Europium 152,Eu-152 ,Operational
30193,Europium 154,Eu-154,Operational
30194,Europium 155,Eu-155,Operational
30195,Gadolinium 153,Gd-153,Operational
30196,Terbium 160,Tb-160,Operational
30197,Holmium 166 metastable,Ho-166m,Operational
30198,Thulium 170,Tm-170,Operational
30199,Ytterbium 169,Yb-169,Operational
30200,Hafnium 175,Hf-175,Operational
30201,Hafnium 181,Hf-181,Operational
30202,Tantalum 179,Ta-179,Operational
30203,Tantalum 182,Ta-182,Operational
30204,Rhenium 184,Re-184,Operational
30205,Iridium 192,Ir-192,Operational
30206,Mercury 203,Hg-203,Operational
30207,Thallium 204,Tl-204,Operational
30208,Thallium 207,Tl-207,Operational
30209,Thallium 208,Tl-208,Operational
30210,Thallium 209,Tl-209,Operational
30211,Bismuth 205,Bi-205,Operational
30212,Bismuth 207,Bi-207,Operational
30213,Bismuth 210,Bi-210,Operational
30214,Bismuth 211,Bi-211,Operational
30215,Bismuth 212,Bi-212,Operational
30216,Bismuth 213,Bi-213,Operational
30217,Bismuth 214,Bi-214,Operational
30218,Polonium 208,Po-208,Operational
30219,Polonium 210,Po-210,Operational
30220,Polonium 212,Po-212,Operational
30221,Polonium 213,Po-213,Operational
30222,Polonium 214,Po-214,Operational
30223,Polonium 215,Po-215,Operational
30224,Polonium 216,Po-216,Operational
30225,Polonium 218,Po-218,Operational
30226,Lead 209,Pb-209,Operational
30227,Lead 210,Pb-210,Operational
30228,Lead 211,Pb-211,Operational
30229,Lead 212,Pb-212,Operational
30230,Lead 214,Pb-214,Operational
30231,Astatine 217,At-217,Operational
30232,Radon 219,Rn-219,Operational
30233,Radon 220,Rn-220,Operational
30234,Radon 222,Rn-222,Operational
30235,Francium 221,Fr-221,Operational
30236,Francium 223,Fr-223,Operational
30237,Radium 223,Ra-223,Operational
30238,Radium 224,Ra-224,Operational
30239,Radium 225,Ra-225,Operational
30240,Radium 226,Ra-226,Operational
30241,Radium 228,Ra-228,Operational
30242,Actinium 225,Ac-225,Operational
30243,Actinium 227,Ac-227,Operational
30244,Actinium 228,Ac-228,Operational
30245,Thorium 227,Th-227,Operational
30246,Thorium 228,Th-228,Operational
30247,Thorium 229,Th-229,Operational
30248,Thorium 230,Th-230,Operational
30249,Thorium 231,Th-231,Operational
30250,Thorium 232,Th-232,Operational
30251,Thorium 234,Th-234,Operational
30252,Protactinium 231,Pa-231,Operational
30253,Protactinium 233,Pa-233,Operational
30254,Protactinium 234 metastable,Pa-234m,Operational
30255,Uranium 232,U-232,Operational
30256,Uranium 233,U-233,Operational
30257,Uranium 234,U-234,Operational
30258,Uranium 235,U-235,Operational
30259,Uranium 236,U-236,Operational
30260,Uranium 237,U-237,Operational
30261,Uranium 238,U-238,Operational
30262,Plutonium 236,Pu-236,Operational
30263,Plutonium 238,Pu-238,Operational
30264,Plutonium 239,Pu-239,Operational
30265,Plutonium 240,Pu-240,Operational
30266,Plutonium 241,Pu-241,Operational
30267,Plutonium 242,Pu-242,Operational
30268,Plutonium 244,Pu-244,Operational
30269,Neptunium 237,Np-237,Operational
30270,Neptunium 238,Np-238,Operational
30271,Neptunium 239,Np-239,Operational
30272,Americium 241,Am-241,Operational
30273,Americium 242,Am-242,Operational
30274,Americium 242 metastable,Am-242m,Operational
30275,Americium 243,Am-243,Operational
30276,Curium 242,Cm-242,Operational
30277,Curium 243,Cm-243,Operational
30278,Curium 244,Cm-244,Operational
30279,Curium 245,Cm-245,Operational
30280,Curium 246,Cm-246,Operational
30281,Curium 247,Cm-247,Operational
30282,Curium 248,Cm-248,Operational
30283,Curium 243/244,Cm-243244,Operational
30284,Plutonium 238/Americium 241,Pu-238Am-241,Operational
30285,Plutonium 239/240,Pu-239240,Operational
30286,Berkelium 249,Bk-249,Operational
30287,Californium 249,Cf-249,Operational
30288,Californium 250,Cf-250,Operational
30289,Californium 252,Cf-252,Operational
30290,Sum aerosol particulates,SumAer,Operational
30291,Sum Iodine,SumIod,Operational
30292,Sum noble gas,SumNG,Operational
30293,Activation gas,ActGas,Operational
30294,Cs-137 Equivalent,EquCs137,Operational
30295,Carbon-13,C-13,Operational
30296,Lead,Pb,Operational
30297,Tellurium 131,Te-131,Operational
30298,Neodymium 137,Nd-137,Operational
30299,Pseudo radionuclide,,Operational
30300,Silver 112,Ag-112,Operational
30301,Silver 115,Ag-115,Operational
30302,Barium 139,Ba-139,Operational
30303,Barium 141,Ba-141,Operational
30304,Barium 142,Ba-142,Operational
30305,Bromine 84,Br-84,Operational
30306,Cadmium 115,Cd-115,Operational
30307,Cadmium 117,Cd-117,Operational
30308,Cadmium 117 metastable,Cd-117m,Operational
30309,Cerium 145,Ce-145,Operational
30310,Cerium 146,Ce-146,Operational
30311,Cobalt 58 metastable,Co-58m,Operational
30312,Caesium 138,Cs-138,Operational
30313,Caesium 139,Cs-139,Operational
30314,Iodine 130 aerosol,I-130a,Operational
30315,Iodine 130 elementary gaseous,I-130e,Operational
30316,Iodine 130 organic bounded,I-130o,Operational
30317,Iodine 132 metastable,I-132m,Operational
30318,Iodine 134 metastable,I-134m,Operational
30319,Indium 115 metastable,In-115m,Operational
30320,Indium 117 metastable,In-117m,Operational
30321,Krypton 83 metastable,Kr-83m,Operational
30322,Lanthanum 142,La-142,Operational
30323,Lanthanum 143,La-143,Operational
30324,Manganese 56,Mn-56,Operational
30325,Molybdenum 101,Mo-101,Operational
30326,Molybdenum 102,Mo-102,Operational
30327,Neodymium 149,Nd-149,Operational
30328,Neodymium 151,Nd-151,Operational
30329,Palladium 109,Pd-109,Operational
30330,Palladium 112,Pd-112,Operational
30331,Praseodymium 145,Pr-145,Operational
30332,Praseodymium 146,Pr-146,Operational
30333,Praseodymium 147,Pr-147,Operational
30334,Rubidium 89,Rb-89,Operational
30335,Rubidium 90,Rb-90,Operational
30336,Rubidium 90 metastable,Rb-90m,Operational
30337,Rhodium 105 metastable,Rh-105m,Operational
30338,Rhodium 107,Rh-107,Operational
30339,Antimony 128,Sb-128,Operational
30340,Antimony 128 metastable,Sb-128m,Operational
30341,Antimony 129 metastable,Sb-129m,Operational
30342,Antimony 130,Sb-130,Operational
30343,Antimony 130 metastable,Sb-130m,Operational
30344,Antimony 131,Sb-131,Operational
30345,Antimony 132,Sb-132,Operational
30346,Antimony 132 metastable,Sb-132m,Operational
30347,Antimony 133,Sb-133,Operational
30348,Selenium 83,Se-83,Operational
30349,Tin 127,Sn-127,Operational
30350,Tin 127 metastable,Sn-127m,Operational
30351,Tin 128,Sn-128,Operational
30352,Tin 129 metastable,Sn-129m,Operational
30353,Tin 130,Sn-130,Operational
30354,Strontium 93,Sr-93,Operational
30355,Technetium 101,Tc-101,Operational
30356,Technetium 102,Tc-102,Operational
30357,Technetium 104,Tc-104,Operational
30358,Technetium 105,Tc-105,Operational
30359,Tellurium 133,Te-133,Operational
30360,Tellurium 133 metastable,Te-133m,Operational
30361,Tellurium 134,Te-134,Operational
30362,Yttrium 93 metastable,Y-93m,Operational
30363,Yttrium 94,Y-94,Operational
30364,Yttrium 95,Y-95,Operational
30365,Zirconium 96,Zr-96,Operational
30366,Indium 117,In-117,Extension
30367,Lead 203,Pb-203,Extension
30368,Sodium 24,Na-24,Extension
30369,Ruthenium 107,Ru-107,Extension
30370,Uranium 239,U-239,Extension
30371-39999,Reserved,,Operational
40000,Singlet sigma oxygen (dioxygen (sigma singlet)),O2(1&Sigma;+g),Operational
40001,Singlet delta oxygen (dioxygen (delta singlet)),O2(1&Delta;g),Operational
40002,Singlet excited oxygen atom,O(1D),Operational
40003,Triplet ground state oxygen atom,O(3P),Operational
40004-59999,Reserved,,Operational
60000,HOx radical (OH+HO2),HOx*,Operational
60001,Total inorganic and organic peroxy radicals (HOO* + ROO*),ROO*,Operational
60002,Passive Ozone,,Operational
60003,NOx expressed as nitrogen,NOx,Operational
60004,All nitrogen oxides (NOy) expressed as nitrogen,NOy,Operational
60005,Total inorganic chlorine,Clx,Operational
60006,Total inorganic bromine,Brx,Operational
60007,"Total inorganic chlorine except HCl, ClONO2: ClOx",,Operational
60008,"Total inorganic bromine except HBr, BrONO2: BrOx",,Operational
60009,Lumped alkanes,,Operational
60010,Lumped alkenes,,Operational
60011,Lumped aromatic compounds,,Operational
60012,Lumped terpenes,,Operational
60013,Non-methane volatile organic compounds expressed as carbon,NMVOC,Operational
60014,Anthropogenic non-methane volatile organic compounds expressed as carbon,aNMVOC,Operational
60015,Biogenic non-methane volatile organic compounds expressed as carbon,bNMVOC,Operational
60016,Lumped oxygenated hydrocarbons,OVOC,Operational
60017,NOx expressed as nitrogen dioxide (NO2),NOx,Operational
60018,Organic aldehydes,RCHO,Operational
60019,Organic peroxides,ROOH,Operational
60020,Organic nitrates,RNO3,Operational
60021,Ethers,"ROR'",Operational
60022,Amines,"NRR'R''",Operational
60023,Ketones,"RC(O)R'",Operational
60024,Dicarbonyls unsaturated,"RC(O)CH2C(O)R'",Operational
60025,Hydroxy dicarbonyls unsaturated,"RC(O)CHOHC(O)R'",Operational
60026,Hydroxy ketones,"RC(OH)C(O)R'",Operational
60027,Oxides,Ox,Operational
60028,Peroxyacyl nitrates,RC(O)OONO2,Operational
60029,Aromatic peroxide radical (Aryl dioxydanyl radicals),ArOO*,Operational
60030,Biogenic secondary organic compound,,Operational
60031,Anthropogenic secondary organic compound,,Operational
60032,All hydroxy-peroxides products of the reaction of hydroxy-isoprene adducts with O2,ISOPOOH,Operational
60033,Anthropogenic volatile organic compounds,aVOC,Operational
60034,Biomass burning volatile organic compounds,bbVOC,Operational
60035,Gaseous molecules,,Operational
60036-61999,Reserved,,Operational
62000,Total aerosol,,Operational
62001,Dust dry,,Operational
62002,Water in ambient,,Operational
62003,Ammonium dry,,Operational
62004,Nitrate dry,,Operational
62005,Nitric acid trihydrate,,Operational
62006,Sulphate dry,,Operational
62007,Mercury dry,,Operational
62008,Sea salt dry,,Operational
62009,Black carbon dry,,Operational
62010,Particulate organic matter dry,,Operational
62011,Primary particulate organic matter dry,,Operational
62012,Secondary particulate organic matter dry,,Operational
62013,Black carbon hydrophilic dry,,Operational
62014,Black carbon hydrophobic dry,,Operational
62015,Particulate organic matter hydrophilic dry,,Operational
62016,Particulate organic matter hydrophobic dry,,Operational
62017,Nitrate hydrophilic dry,,Operational
62018,Nitrate hydrophobic dry,,Operational
62019,Reserved,,Operational
62020,Smoke - high absorption,,Operational
62021,Smoke - low absorption,,Operational
62022,Aerosol - high absorption,,Operational
62023,Aerosol - low absorption,,Operational
62024,Reserved,,Operational
62025,Volcanic ash,,Operational
62026,Particulate matter (PM),,Operational
62027,Reserved,,Operational
62028,Total aerosol hydrophilic,,Operational
62029,Total aerosol hydrophobic,,Operational
62030,Primary particulate inorganic matter dry,,Operational
62031,Secondary particulate inorganic matter dry,,Operational
62032,Biogenic secondary organic aerosol,,Operational
62033,Anthropogenic secondary organic aerosol,,Operational
62034,Rain water,H2Orain,Operational
62035,Cloud water,H2Ocloud,Operational
62036,Brown carbon dry,,Operational
62037,Sea salt wet at 80% relative humidity,,Operational
62038-62099,Reserved,,Operational
62100,Alnus (alder) pollen,,Operational
62101,Betula (birch) pollen,,Operational
62102,Castanea (chestnut) pollen,,Operational
62103,Carpinus (hornbeam) pollen,,Operational
62104,Corylus (hazel) pollen,,Operational
62105,Fagus (beech) pollen,,Operational
62106,Fraxinus (ash) pollen,,Operational
62107,Pinus (pine) pollen,,Operational
62108,Platanus (plane) pollen,,Operational
62109,"Populus (cottonwood, poplar) pollen",,Operational
62110,Quercus (oak) pollen,,Operational
62111,Salix (willow) pollen,,Operational
62112,Taxus (yew) pollen,,Operational
62113,"Tilia (lime, linden) pollen",,Operational
62114,Ulmus (elm) pollen,,Operational
62115,Olea (olive) pollen,,Operational
62116-62199,Reserved,,Operational
62200,"Ambrosia (ragweed, burr-ragweed) pollen",,Operational
62201,"Artemisia (sagebrush, wormwood, mugwort) pollen",,Operational
