Name_DataCategories_en,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_en
Surface data - land,0,Hourly synoptic observations from fixed-land stations (SYNOP)
Surface data - land,1,Intermediate synoptic observations from fixed-land stations (SYNOP)
Surface data - land,2,Main synoptic observations from fixed-land stations (SYNOP)
Surface data - land,3,Hourly synoptic observations from mobile-land stations (SYNOP MOBIL)
Surface data - land,4,Intermediate synoptic observations from mobile-land stations (SYNOP MOBIL)
Surface data - land,5,Main synoptic observations from mobile-land stations (SYNOP MOBIL)
Surface data - land,6,One-hour observations from automated stations
Surface data - land,7,n-minute observations from AWS stations
Surface data - land,8,Radiation observations from one-hour period
Surface data - land,9,Radiation observations from n-minute period
Surface data - land,10,Routine aeronautical observations (METAR)
Surface data - land,11,Special aeronautical observations (SPECI)
Surface data - land,14,Ground-based GPS humidity observations (GPSIWV)
Surface data - land,20,Climatological observations (CLIMAT)
Surface data - land,21,Climatological observations (monthly reports of daily climate data)
Surface data - land,30,Sferics locations
Surface data - land,40,Hydrologic reports
Surface data - land,50,Hourly synoptic observations with supplementary one-hour data
Surface data - land,51,Intermediate synoptic observations with supplementary one-hour data
Surface data - land,52,Main synoptic observations with supplementary one-hour data
Surface data - sea,0,Synoptic observations (SHIP)
Surface data - sea,6,One-hour observations from automated stations
Surface data - sea,7,n-minute observations from AWS stations
Surface data - sea,20,Climatological observations (CLIMAT SHIP)
Surface data - sea,25,Buoy observation (BUOY)
Surface data - sea,30,Tide gauge
Surface data - sea,31,Observed water level time series
Vertical soundings (other than satellite),1,Upper-wind reports from fixed-land stations (PILOT)
Vertical soundings (other than satellite),2,Upper-wind reports from ships (PILOT SHIP)
Vertical soundings (other than satellite),3,Upper-wind reports from mobile land stations (PILOT MOBIL)
Vertical soundings (other than satellite),4,Upper-level temperature/humidity/wind reports from fixed-land stations (TEMP)
Vertical soundings (other than satellite),5,Upper-level temperature/humidity/wind reports from ships (TEMP SHIP)
Vertical soundings (other than satellite),6,Upper-level temperature/humidity/wind report from mobile land stations (TEMP MOBIL)
Vertical soundings (other than satellite),7,Upper-level temperature/humidity/wind reports from dropwinsondes (TEMP DROP)
Vertical soundings (other than satellite),10,Wind profiler reports
Vertical soundings (other than satellite),11,RASS temperature profiles
Vertical soundings (other than satellite),14,Upper-level temperature/humidity/wind reports from descent radiosondes originally launched from fixed-land stations
