CodeFigure_DataCategories,Name_DataCategories_fr,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_fr,Status
0,Données de surface - terre,0,Observations synoptiques horaires provenant de stations terrestres fixes (SYNΟΡ),Operational
0,Données de surface - terre,1,Observations synoptiques intermédiaires provenant de stations terrestres fixes (SYNOP),Operational
0,Données de surface - terre,2,Observations synoptiques principales provenant de stations terrestres fixes (SYNOP),Operational
0,Données de surface - terre,3,Observations synoptiques horaires provenant de stations terrestres mobiles (SYNOP MOBIL),Operational
0,Données de surface - terre,4,Observations synoptiques intermédiaires provenant de stations terrestres mobiles (SYNOP MOBIL),Operational
0,Données de surface - terre,5,Observations synoptiques principales provenant de stations terrestres mobiles (SYNOP MOBIL),Operational
0,Données de surface - terre,6,Observations sur une heure provenant de stations automatiques,Operational
0,Données de surface - terre,7,Observations sur n minutes provenant de stations météorologiques automatiques,Operational
0,Données de surface - terre,8,Observations du rayonnement sur une heure,Operational
0,Données de surface - terre,9,Observations du rayonnement sur n minutes,Operational
0,Données de surface - terre,10,Observations aéronautiques régulières (METAR),Operational
0,Données de surface - terre,11,Observations aéronautiques spéciales (SPECI),Operational
0,Données de surface - terre,14,Observation de l'humidité par GPS au sol (GPSIWV),Operational
0,Données de surface - terre,20,Observations climatologiques (CLIMAT),Operational
0,Données de surface - terre,21,Observations climatologiques (transmission de données climatologiques quotidiennes une fois par mois),Operational
0,Données de surface - terre,30,Positions géographiques d'atmosphériques,Operational
0,Données de surface - terre,40,Observations hydrologiques,Operational
0,Données de surface - terre,50,Observations synoptiques horaires avec données supplémentaires sur une heure,Operational
0,Données de surface - terre,51,Observations synoptiques intermédiaires avec données supplémentaires sur une heure,Operational
0,Données de surface - terre,52,Observations synoptiques principales avec données supplémentaires sur une heure,Operational
1,Données de surface - mer,0,Observations synoptiques (SHIP),Operational
1,Données de surface - mer,6,Observations sur une heure provenant de stations automatiques,Operational
1,Données de surface - mer,7,Observations sur n minutes provenant de stations météorologiques automatiques,Operational
1,Données de surface - mer,20,Observations climatologiques (CLIMAT SHIP),Operational
1,Données de surface - mer,25,Observations provenant de bouées (BUOY),Operational
1,Données de surface - mer,30,Observations provenant de marégraphes,Operational
1,Données de surface - mer,31,Séries chronologiques du niveau de la mer observé,Operational
2,Sondages verticaux (autres que par satellite),1,Messages d'observation du vent en altitude provenant de stations terrestres fixes (PILOT),Operational
2,Sondages verticaux (autres que par satellite),2,Messages d'observation du vent en altitude provenant de navires (PILOT SHIP),Operational
