DateOfAssignment_fr,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_fr,Status
Nécessaire,38-40,138-140,Vacant,Operational
03/11/2011,41,141,Vaisala RS41 avec pression dérivée de l'altitude GPS/DigiCORA MW41 (Finlande),Operational
03/11/2011,42,142,Vaisala RS41 avec pression dérivée de l'altitude GPS/AUTOSONDE (Finlande),Operational
07/05/2014,43,143,NanJing Daqiao XGP-3G (Chine)*,Operational
07/05/2014,44,144,TianJin HuaYunTianYi GTS(U)1 (Chine)*,Operational
07/05/2014,45,145,Beijing Changfeng CF-06 (Chine)*,Operational
07/05/2014,46,146,Shanghai Changwang GTS3 (Chine)*,Operational
,47,147,Non vacant,Operational
02/05/2012,48,148,PAZA-22M/MARL-A,Operational
,49,149,Non vacant,Operational
02/11/2016,50,150,Meteolabor SRS-C50/Argus (Suisse),Operational
,51,151,Non vacant,Operational
03/11/2011,52,152,Vaisala RS92-NGP/Intermet IMS-2000 (États-Unis d'Amérique),Operational
06/05/2015,53,153,AVK - I-2012 (Fédération de Russie),Operational
15/05/2019,54,154,Graw DFM-17 (Allemagne),Operational
,55-59,155-159,Non vacant,Operational
06/05/2015,60,160,MARL-A ou Vektor-M – I-2012 (Fédération de Russie),Operational
,61,161,Non vacant,Operational
06/05/2015,62,162,MARL-A ou Vektor-M - MRZ-3MK (Fédération de Russie),Operational
07/11/2018,63,163,"Radiosonde Modem M20 avec capteur thermostatique, capteur capacitif d'humidité relative, et pression déduite de l'altitude GPS (France)",Operational
07/11/2018,64,164,Radiosonde Modem PilotSonde GPS (France),Operational
Nécessaire,65-66,165-166,Vacant,Operational
,67-72,167-172,Non vacant,Operational
02/11/2016,73,173,MARL-A (Fédération de Russie)-ASPAN-15 (Kazakhstan),Operational
,74-76,174-176,Non vacant,Operational
15/03/2010,77,177,Modem GPSonde M10 (France),Operational
,78-81,178-181,Non vacant,Operational
07/11/2012,82,182,"Lockheed Martin LMS-6 w avec thermistance pavé, capteur d'humidité relative de type capacitif polymère, fixé à un bras externe, capteur de pression de type capacitif et vent par GPS",Operational
07/11/2012,83,183,"Vaisala RS92-D/Intermet IMS 1500 w avec capteur pression de type capacitif au silicium, capteur de température de type capacitif, capteur d'humidité relative de type capacitif à couche mince, chauffé, double capteur et vent par RDF",Operational
06/11/2019,84,184,iMet-54/iMet-3200/3400 radiosonde GPS avec pression déduite de l'altitude GPS (Afrique du Sud),Operational
,85-89,185-189,Non vacant,Operational
Non disponible,,190,Catasonde expérimentale NRD94 du NCAR avec GPS et capteur de radiosonde Vaisala RS92 (États-Unis),Operational
Non disponible,,191,Catasonde expérimentale NRD41 du NCAR avec GPS et capteur de radiosonde Vaisala RS41 (États-Unis),Operational
Non disponible,,192,Catasonde Vaisala/NCAR RD94 avec GPS et capteur de radiosonde Vaisala RS92 (Finlande/États-Unis),Operational
Non disponible,,193,Catasonde Vaisala/NCAR RD41 avec GPS et capteur de radiosonde Vaisala RS41 (Finlande/États-Unis),Operational
Non disponible,,194-196,En réserve pour BUFR uniquement,Operational
,97-99,197-199,Non vacant,Operational
Non disponible,,200-254,En réserve pour BUFR uniquement,Operational
,,255,Valeur manquante,Operational
